temp_c,pressure_bar,public_b,local_b,delta,delta_pct
8,60,34.85,39.297,-4.446999999999996,-11.316385474718162
9,60,49.02,53.479,-4.458999999999996,-8.33785224106658
10,60,62.76,67.237,-4.476999999999997,-6.6585362226155205
11,60,76.1,80.534,-4.434000000000012,-5.505749124593354
12,60,89.07,93.571,-4.501000000000005,-4.810251039317742
13,60,102.67,106.19,-3.519999999999996,-3.3148130709106285
14,60,113.93,118.468,-4.537999999999997,-3.8305702805820956
15,60,125.88,130.423,-4.543000000000006,-3.4832813230795225
16,60,137.51,142.073,-4.563000000000017,-3.2117291814771396
17,60,148.86,153.433,-4.572999999999979,-2.9804540092418055
18,60,159.92,164.518,-4.598000000000013,-2.7948309607459443
19,60,170.73,175.342,-4.612000000000023,-2.6302882367031417
20,60,181.29,185.918,-4.628000000000014,-2.489269462881493
21,60,191.62,196.2,-4.579999999999984,-2.3343527013251704
22,60,201.72,206.377,-4.657000000000011,-2.256549906239557
23,60,211.61,216.283,-4.672999999999973,-2.1605951461742134
24,60,221.3,225.987,-4.686999999999983,-2.0740131069486223
25,60,230.79,235.5,-4.710000000000008,-2.0000000000000036
1,70,-75.03,-70.669,-4.361000000000004,6.171022654912344
2,70,-57.25,-52.88,-4.369999999999997,8.263993948562778
3,70,-40.1,-35.718,-4.381999999999998,12.268324094294186
4,70,-23.54,-19.149,-4.390999999999998,22.930701342106627
5,70,-7.56,-3.13,-4.43,141.5335463258786
6,70,7.92,12.343,-4.423,-35.8340759944908
7,70,22.89,27.327,-4.437000000000001,-16.236688988912068
8,70,37.39,41.841,-4.4510000000000005,-10.637891063789107
9,70,51.44,55.909,-4.469000000000001,-7.993346330644442
10,70,65.08,69.556,-4.475999999999999,-6.4351026511012694
11,70,78.32,82.806,-4.486000000000004,-5.417481824988533
12,70,91.17,95.679,-4.509,-4.712632866146176
13,70,103.68,108.195,-4.514999999999986,-4.173020934423945
14,70,115.84,120.374,-4.533999999999992,-3.7665941150082176
15,70,127.69,132.233,-4.543000000000006,-3.4356023080471636
16,70,139.22,143.79,-4.569999999999993,-3.178246053272128
17,70,150.49,155.059,-4.568999999999988,-2.946620318717384
18,70,161.46,166.055,-4.594999999999999,-2.767155460540182
19,70,172.18,176.793,-4.6129999999999995,-2.609266203978664
20,70,182.66,187.286,-4.626000000000005,-2.470019115150094
21,70,192.91,197.546,-4.635999999999996,-2.346795176819574
22,70,202.93,207.583,-4.652999999999992,-2.2415130333408766
23,70,212.74,217.914,-5.173999999999978,-2.374331158163302
24,70,222.35,227.043,-4.693000000000012,-2.0670093330338357
25,70,231.78,236.483,-4.703000000000003,-1.9887264623672751
1,80,-71.6,-67.042,-4.557999999999993,6.798723188449022
2,80,-53.96,-49.581,-4.378999999999998,8.83201226276194
3,80,-36.94,-32.553,-4.3870000000000005,13.47648450219642
4,80,-20.51,-16.114,-4.396000000000001,27.28062554300609
5,80,-4.65,-0.23,-4.42,1921.7391304347825
6,80,10.7,15.129,-4.429,-29.27490250512261
7,80,25.55,29.993,-4.442999999999998,-14.813456473177066
8,80,39.94,43.39,-3.450000000000003,-7.951140815856195
9,80,53.88,58.344,-4.463999999999999,-7.651172357054707
10,80,67.4,71.881,-4.4809999999999945,-6.233914386277312
11,80,80.53,85.023,-4.492999999999995,-5.284452442280319
