temp_c,pressure_bar,a_micro_per_bar_estimated,b_micro_per_c,a_source_kind,b_source_kind
16.0,110.0,45.034014,146.15,estimated_from_fig1_chart,exact_from_table1_text
16.0,120.0,44.935468,147.9,estimated_from_fig1_chart,exact_from_table1_text
18.0,30.0,45.477472,155.35,estimated_from_fig1_chart,exact_from_table1_text
18.0,40.0,45.378926,156.87,estimated_from_fig1_chart,exact_from_table1_text
18.0,50.0,45.263955,158.39,estimated_from_fig1_chart,exact_from_table1_text
18.0,60.0,45.181833,159.92,estimated_from_fig1_chart,exact_from_table1_text
18.0,70.0,45.066863,161.46,estimated_from_fig1_chart,exact_from_table1_text
18.0,80.0,44.968317,163.0,estimated_from_fig1_chart,exact_from_table1_text
18.0,90.0,44.86977,164.56,estimated_from_fig1_chart,exact_from_table1_text
18.0,100.0,44.771224,166.11,estimated_from_fig1_chart,exact_from_table1_text
18.0,110.0,44.672678,167.66,estimated_from_fig1_chart,exact_from_table1_text
18.0,120.0,44.557707,169.24,estimated_from_fig1_chart,exact_from_table1_text
20.0,30.0,45.165409,177.23,estimated_from_fig1_chart,exact_from_table1_text
20.0,40.0,45.066863,178.58,estimated_from_fig1_chart,exact_from_table1_text
20.0,50.0,44.951892,179.93,estimated_from_fig1_chart,exact_from_table1_text
20.0,60.0,44.86977,181.29,estimated_from_fig1_chart,exact_from_table1_text
20.0,70.0,44.7548,182.66,estimated_from_fig1_chart,exact_from_table1_text
20.0,80.0,44.656254,184.03,estimated_from_fig1_chart,exact_from_table1_text
20.0,90.0,44.557707,185.41,estimated_from_fig1_chart,exact_from_table1_text
20.0,100.0,44.442737,186.8,estimated_from_fig1_chart,exact_from_table1_text
20.0,110.0,44.344191,188.2,estimated_from_fig1_chart,exact_from_table1_text
20.0,120.0,44.245644,189.59,estimated_from_fig1_chart,exact_from_table1_text
22.0,30.0,44.935468,198.14,estimated_from_fig1_chart,exact_from_table1_text
22.0,40.0,44.820497,199.33,estimated_from_fig1_chart,exact_from_table1_text
22.0,50.0,44.721951,200.52,estimated_from_fig1_chart,exact_from_table1_text
22.0,60.0,44.606981,201.72,estimated_from_fig1_chart,exact_from_table1_text
22.0,70.0,44.508434,202.93,estimated_from_fig1_chart,exact_from_table1_text
22.0,80.0,44.393464,204.14,estimated_from_fig1_chart,exact_from_table1_text
22.0,90.0,44.294918,205.36,estimated_from_fig1_chart,exact_from_table1_text
22.0,100.0,44.179947,206.59,estimated_from_fig1_chart,exact_from_table1_text
22.0,110.0,44.081401,207.82,estimated_from_fig1_chart,exact_from_table1_text
22.0,120.0,43.96643,209.06,estimated_from_fig1_chart,exact_from_table1_text
24.0,30.0,44.721951,218.18,estimated_from_fig1_chart,exact_from_table1_text
24.0,40.0,44.606981,219.21,estimated_from_fig1_chart,exact_from_table1_text
24.0,50.0,44.49201,220.25,estimated_from_fig1_chart,exact_from_table1_text
24.0,60.0,44.393464,221.3,estimated_from_fig1_chart,exact_from_table1_text
24.0,70.0,44.278493,222.35,estimated_from_fig1_chart,exact_from_table1_text
24.0,80.0,44.179947,223.42,estimated_from_fig1_chart,exact_from_table1_text
24.0,90.0,44.064976,224.48,estimated_from_fig1_chart,exact_from_table1_text
24.0,100.0,43.96643,225.56,estimated_from_fig1_chart,exact_from_table1_text
24.0,110.0,43.85146,226.64,estimated_from_fig1_chart,exact_from_table1_text
24.0,120.0,43.752913,227.73,estimated_from_fig1_chart,exact_from_table1_text
26.0,30.0,44.557707,237.41,estimated_from_fig1_chart,exact_from_table1_text
26.0,40.0,44.442737,238.3,estimated_from_fig1_chart,exact_from_table1_text
26.0,50.0,44.327766,239.2,estimated_from_fig1_chart,exact_from_table1_text
26.0,60.0,44.22922,240.11,estimated_from_fig1_chart,exact_from_table1_text
26.0,70.0,44.11425,241.02,estimated_from_fig1_chart,exact_from_table1_text
26.0,80.0,43.999279,241.94,estimated_from_fig1_chart,exact_from_table1_text
26.0,90.0,43.900733,242.87,estimated_from_fig1_chart,exact_from_table1_text
26.0,100.0,43.769338,243.79,estimated_from_fig1_chart,exact_from_table1_text
26.0,110.0,43.654367,244.73,estimated_from_fig1_chart,exact_from_table1_text
26.0,120.0,43.555821,245.68,estimated_from_fig1_chart,exact_from_table1_text
28.0,30.0,44.360615,255.93,estimated_from_fig1_chart,exact_from_table1_text
28.0,40.0,44.262069,256.69,estimated_from_fig1_chart,exact_from_table1_text
28.0,50.0,44.130674,257.45,estimated_from_fig1_chart,exact_from_table1_text
28.0,60.0,44.032128,258.22,estimated_from_fig1_chart,exact_from_table1_text
28.0,70.0,43.900733,258.99,estimated_from_fig1_chart,exact_from_table1_text
28.0,80.0,43.785762,259.78,estimated_from_fig1_chart,exact_from_table1_text
28.0,90.0,43.687216,260.57,estimated_from_fig1_chart,exact_from_table1_text
28.0,100.0,43.572245,261.36,estimated_from_fig1_chart,exact_from_table1_text
28.0,110.0,43.457275,262.17,estimated_from_fig1_chart,exact_from_table1_text
28.0,120.0,43.342304,262.98,estimated_from_fig1_chart,exact_from_table1_text
30.0,30.0,44.212796,273.8,estimated_from_fig1_chart,exact_from_table1_text
30.0,40.0,44.081401,274.42,estimated_from_fig1_chart,exact_from_table1_text
30.0,50.0,43.96643,275.07,estimated_from_fig1_chart,exact_from_table1_text
30.0,60.0,43.85146,275.7,estimated_from_fig1_chart,exact_from_table1_text
30.0,70.0,43.736489,276.35,estimated_from_fig1_chart,exact_from_table1_text
30.0,80.0,43.605094,277.01,estimated_from_fig1_chart,exact_from_table1_text
30.0,90.0,43.506548,277.66,estimated_from_fig1_chart,exact_from_table1_text
30.0,100.0,43.375153,278.33,estimated_from_fig1_chart,exact_from_table1_text
30.0,110.0,43.260182,279.01,estimated_from_fig1_chart,exact_from_table1_text
30.0,120.0,43.145212,279.69,estimated_from_fig1_chart,exact_from_table1_text
