temp_c,pressure_bar,public_a_estimated,local_a,delta,delta_pct
2.0,38.0,49.107257,49.125,-0.017743,-0.036118
4.0,38.0,48.499556,48.4952,0.004356,0.008982
6.0,38.0,47.941127,47.9176,0.023527,0.049099
8.0,38.0,47.366274,47.388,-0.021726,-0.045847
10.0,38.0,46.922816,46.9052,0.017616,0.037557
12.0,38.0,46.56148,46.4664,0.09508,0.204621
14.0,38.0,46.118022,46.0688,0.049222,0.106845
16.0,38.0,45.723838,45.71,0.013838,0.030273
18.0,38.0,45.39535,45.3892,0.00615,0.013549
20.0,38.0,45.083287,45.1026,-0.019313,-0.04282
22.0,38.0,44.836922,44.8488,-0.011878,-0.026485
24.0,38.0,44.623405,44.6262,-0.002795,-0.006263
2.0,39.0,49.107257,49.115,-0.007743,-0.015765
4.0,39.0,48.499556,48.4851,0.014456,0.029815
6.0,39.0,47.924703,47.9073,0.017403,0.036326
8.0,39.0,47.366274,47.3775,-0.011226,-0.023695
10.0,39.0,46.922816,46.8946,0.028216,0.060169
12.0,39.0,46.56148,46.4557,0.10578,0.227701
14.0,39.0,46.101598,46.0579,0.043698,0.094876
16.0,39.0,45.707413,45.699,0.008413,0.01841
18.0,39.0,45.378926,45.3781,0.000826,0.00182
20.0,39.0,45.083287,45.0913,-0.008013,-0.017771
22.0,39.0,44.836922,44.8374,-0.000478,-0.001066
24.0,39.0,44.623405,44.6146,0.008805,0.019736
2.0,40.0,49.090833,49.105,-0.014167,-0.02885
4.0,40.0,48.483131,48.475,0.008131,0.016774
6.0,40.0,47.924703,47.897,0.027703,0.057839
8.0,40.0,47.34985,47.367,-0.01715,-0.036207
10.0,40.0,46.906392,46.884,0.022392,0.04776
12.0,40.0,46.545056,46.445,0.100056,0.215429
14.0,40.0,46.101598,46.047,0.054598,0.11857
16.0,40.0,45.707413,45.688,0.019413,0.04249
18.0,40.0,45.378926,45.367,0.011926,0.026288
20.0,40.0,45.066863,45.08,-0.013137,-0.029142
22.0,40.0,44.820497,44.826,-0.005503,-0.012276
24.0,40.0,44.606981,44.603,0.003981,0.008925
2.0,41.0,49.074409,49.095,-0.020591,-0.041941
4.0,41.0,48.466707,48.4649,0.001807,0.003728
6.0,41.0,47.908278,47.8867,0.021578,0.045061
8.0,41.0,47.34985,47.3567,-0.00685,-0.014465
10.0,41.0,46.906392,46.8731,0.033292,0.071026
12.0,41.0,46.545056,46.4344,0.110656,0.238306
14.0,41.0,46.085174,46.0362,0.048974,0.106381
16.0,41.0,45.690989,45.6771,0.013889,0.030407
18.0,41.0,45.362501,45.3559,0.006601,0.014554
20.0,41.0,45.050438,45.0688,-0.018362,-0.040742
22.0,41.0,44.804073,44.8146,-0.010527,-0.02349
24.0,41.0,44.590556,44.5915,-0.000944,-0.002117
2.0,42.0,49.074409,49.085,-0.010591,-0.021577
4.0,42.0,48.466707,48.4548,0.011907,0.024573
6.0,42.0,47.908278,47.8764,0.031878,0.066584
8.0,42.0,47.333426,47.3464,-0.012974,-0.027402
10.0,42.0,46.889968,46.8622,0.027768,0.059255
12.0,42.0,46.528632,46.4238,0.104832,0.225815
14.0,42.0,46.085174,46.0254,0.059774,0.129872
16.0,42.0,45.690989,45.6662,0.024789,0.054283
18.0,42.0,45.346077,45.3448,0.001277,0.002816
20.0,42.0,45.050438,45.0576,-0.007162,-0.015895
22.0,42.0,44.804073,44.8032,0.000873,0.001949
24.0,42.0,44.590556,44.58,0.010556,0.023679
2.0,43.0,49.057984,49.075,-0.017016,-0.034673
4.0,43.0,48.450283,48.4447,0.005583,0.011524
6.0,43.0,47.908278,47.8661,0.042178,0.088117
8.0,43.0,47.333426,47.3361,-0.002674,-0.005649
10.0,43.0,46.889968,46.8513,0.038668,0.082533
12.0,43.0,46.512207,46.4132,0.099007,0.213316
14.0,43.0,46.068749,46.0146,0.054149,0.117678
16.0,43.0,45.674564,45.6553,0.019264,0.042194
18.0,43.0,45.346077,45.3337,0.012377,0.027302
20.0,43.0,45.034014,45.0464,-0.012386,-0.027496
22.0,43.0,44.787649,44.7918,-0.004151,-0.009267
24.0,43.0,44.574132,44.5685,0.005632,0.012637
2.0,44.0,49.057984,49.065,-0.007016,-0.014299
4.0,44.0,48.433858,48.4346,-0.000742,-0.001532
6.0,44.0,47.891854,47.8558,0.036054,0.075339
8.0,44.0,47.317001,47.3258,-0.008799,-0.018592
10.0,44.0,46.873543,46.8404,0.033143,0.070757
12.0,44.0,46.512207,46.4026,0.109607,0.236209
14.0,44.0,46.068749,46.0038,0.064949,0.141182
16.0,44.0,45.65814,45.6444,0.01374,0.030102
18.0,44.0,45.329653,45.3226,0.007053,0.015562
20.0,44.0,45.01759,45.0352,-0.01761,-0.039103
22.0,44.0,44.787649,44.7804,0.007249,0.016188
24.0,44.0,44.557707,44.557,0.000707,0.001587
2.0,45.0,49.04156,49.055,-0.01344,-0.027398
4.0,45.0,48.433858,48.4245,0.009358,0.019325
