temp_c,pressure_bar,b_micro_per_c,source_page
17.0,300.0,189.130000,58
18.0,300.0,198.130000,58
19.0,300.0,206.920000,58
20.0,300.0,215.510000,58
21.0,300.0,223.930000,58
22.0,300.0,232.180000,58
23.0,300.0,240.260000,58
24.0,300.0,248.180000,59
25.0,300.0,255.960000,59
26.0,300.0,263.600000,59
27.0,300.0,271.110000,59
28.0,300.0,278.510000,59
29.0,300.0,285.790000,59
30.0,300.0,292.950000,59
